unified_est_id,est_name,address,source
10808572.0,000 MEZZ PRODUCTION KITCHEN (PK),1 Blue Jays Way None M5V 1J4,auto_classified
10840337.0,000F BLUEPRINT CLUB KITCHEN,1 Blue Jays Way None M5V 1J4,auto_classified
10808575.0,000L BANNER CLUB KITCHEN,1 BLUE JAYS WAY None M5V 1J4,auto_classified
10817089.0,000L CLOVER BANNER CLUB KITCHEN,1 Blue Jays Way None M5V 1J4,auto_classified
10776015.0,1 HOTEL TORONTO - 1 KITCHEN,550 Wellington St W None M5V 2V4,auto_classified
10776014.0,1 HOTEL TORONTO - STAFF CAFETERIA 'The Nest',550 Wellington St W None M5V 2V4,auto_classified
10808982.0,1001 XINJIANG CUISINE,1883 Mcnicoll Ave Unit-1-6 M1V 5M3,auto_classified
10808569.0,106 THE CATCH BAR,1 Blue Jays Way None M5V 1J4,auto_classified
10814145.0,106 THE CATCH CONCESSION (CONC),1 Blue Jays Way None M5V 1J4,auto_classified
10814172.0,107 MILL STREET BREWERY,1 Blue Jays Way None M5V 1J4,auto_classified
10808571.0,109 PRODUCTION KITCHEN,1 Blue Jays Way None M5V 1J4,auto_classified
10814106.0,116 PIZZA NOVA,1 Blue Jays Way None M5V 1J4,auto_classified
10814176.0,122 STRIKE OUT GRILL,1 Blue Jays Way None M5V 1J4,auto_classified
10812827.0,13 SUNS ETHIOPIAN VEGAN CUISINE INC,74 Hymus Rd Unit-4 M1L 2C9,auto_classified
10814103.0,130 SMIRNOFF BAR,1 Blue Jays Way None M5V 1J4,auto_classified
10814104.0,140 VENDING KITCHEN,1 Blue Jays Way None M5V 1J4,auto_classified
10841443.0,18 FEET ESPRESSO BAR,144 College St None M5S 3M2,auto_classified
10814179.0,211 BAY ST DELI,1 Blue Jays Way None M5V 1J4,auto_classified
10788511.0,241 PIZZA,8 Greystone Walk Dr Unit-C1E M1K 5J2,auto_classified
10844630.0,241 PIZZA,3815 Lake Shore Blvd W None M8W 1R2,auto_classified
10817086.0,300 K1 KITCHEN,1 Blue Jays Way None M5V 1J4,auto_classified
10817077.0,300 K2 KITCHEN,1 Blue Jays Way None M5V 1J4,auto_classified
10791910.0,34 CAFE,2737 Keele St Unit-26 M3M 2E9,auto_classified
10830804.0,3477 BAR AND LOUNGE,"3477 KENNEDY RD, Flr-2 None M1V 3Z7",auto_classified
10798930.0,367 CAFE,367 DONLANDS AVE None M4J 3S2,auto_classified
10837284.0,389 COZY RESTAURANT,390 SILVER STAR BLVD None M1V 0G5,auto_classified
10785924.0,3A NOODLE,3875 Don Mills Rd None None,auto_classified
10863980.0,3RD MOM HOT POT,261 Spadina Ave None M5T 2E3,auto_classified
10855851.0,3RD MOM SPICY HOT POT,39 Spring Garden Ave None M2N 3G1,auto_classified
10796228.0,40 FIRVALLEY CRT COMMUNITY KITCHEN,40 Firvalley Crt None M1L 1P1,auto_classified
10817082.0,400 K3 KITCHEN,1 Blue Jays Way None M5V 1J4,auto_classified
10817081.0,400 K4 KITCHEN,1 Blue Jays Way None M5V 1J4,auto_classified
10777262.0,416 SNACK BAR SHORT TURN,576 Queen St W None M5V 2B5,auto_classified
10809881.0,450/ ROOMS COFFEE,450 DUFFERIN ST None M6K 2A5,auto_classified
10822327.0,4EVER SUSHI,225 Queen St W None M5V 1Z4,auto_classified
10814183.0,508 PIZZA NOVA,1 Blue Jays Way None M5V 1J4,auto_classified
10862255.0,520 CAFE BAR,520 Richmond St W None M5V 1Y4,auto_classified
10814151.0,524 CANADIAN CLUB BAR,1 Blue Jays Way None M5V 1J4,auto_classified
10829881.0,555 BOAT NOODLES,496 Yonge St Bldg-B M4Y 1X9,auto_classified
10860715.0,555 BOAT NOODLES,5308 Yonge St None M2N 5P9,auto_classified
10862622.0,579 TAIWAN BEEF NOODLE HOUSE,5455 Yonge St None M2N 5S1,auto_classified
10802978.0,6IX PIZZAS,2070 Queen St E None M4E 1C9,auto_classified
10784045.0,6IX WINGS,2950 Birchmount Rd Unit-6A M1W 3G5,auto_classified
10819131.0,6IXTY WINGS,900 Albion Rd Unit-B20 M9V 1A5,auto_classified
10819895.0,6THIRTY COFFEE AND CO.,630 DANFORTH AVE None M4K 1R3,auto_classified
10858417.0,7 NOODLES,4664 Yonge St Unit-13 M2N 5M1,auto_classified
10813969.0,9 MILE JAMAICAN AND INTERNATIONAL CUISINE,1334 Bloor St W None M6H 1P2,auto_classified
10840099.0,90C BAKERY CAFE,1883 Mcnicoll Ave Unit-14 M1V 5M3,auto_classified
10863177.0,90S LOUNGE HOT AND DESSERT BAR,3260 Lawrence Ave E None M1H 1A4,auto_classified
10780835.0,915 DUPONT CAFE,915 Dupont St None M6H 1Z1,auto_classified
10787998.0,999 SUSHI,31 Tapscott Rd Unit-99 M1B 4Y7,auto_classified
10845628.0,9SIPS TEA SHOPPE,28 Edward St Bldg-1 M5G 1C9,auto_classified
10856759.0,AFC ZENSHI SUSHI,3300 Bloor St W None M8X 2X3,auto_classified
10829321.0,A & W RESTAURANT,3155 Markham Rd Unit-D1 M1X 0B5,auto_classified
10785570.0,A BBQ HOUSE,664 Yonge St None M4Y 2A6,auto_classified
10774701.0,A CORNER CAFE AND RESTAURANT,5193 Yonge St None M2N 5P7,auto_classified
10804594.0,A COTE SORREL WINE BAR,1156 YONGE ST None M4W 2L9,auto_classified
10827312.0,A PIZZA,252 Queen St W None M5V 1Z8,auto_classified
10785012.0,A&W,2131 Lawrence Ave E Unit-1110 M1R 5G4,auto_classified
10837642.0,A-D CAFE,1147 DAVENPORT RD None M6H 2G4,auto_classified
10855886.0,ABOL ESPRESSO  BAR,1432 DANFORTH AVE None M4J 1N4,auto_classified
10815969.0,ABURI SUSHI TORONTO,505 Richmond St W Unit-K10-11 M5V 1Y3,auto_classified
10801642.0,ACE GOLF BAR & LOUNGE,588 Eastern Ave Unit-C M4M 1E1,auto_classified
10778690.0,ACUTE PIZZERIA,1745 Dundas St W None M6K 1V4,auto_classified
10853157.0,ADANA KEBAB,1960 Lawrence Ave E Unit-11 M1R 2Z1,auto_classified
10837930.0,ADOBO FRESH BURRITO MEXICAN GRILL,16 Richardson St Unit-3 M5A 4J9,auto_classified
10816689.0,AESET COFFEE,24 Bellair St Unit-6 M5R 2C7,auto_classified
10829666.0,AFGHAN BBQ & PIZZA,4379 Kingston Rd Unit-4 M1E 2M9,auto_classified
10841151.0,AFGHAN GRILL EXPRESS,4800 Sheppard Ave E Unit-123 M1S 4N5,auto_classified
10799488.0,AFIYET SHAWARMA,1054 Finch Ave W None M3J 2E2,auto_classified
10793090.0,AFRO'S PIZZA,107 Mutual St None M5B 2B2,auto_classified
10850347.0,AFURI RAMEN + DUMPLING,411 CHURCH ST None M4Y 2C2,auto_classified
10823192.0,AG RESTAURANT,2883 Jane St None M3N 2J5,auto_classified
10792637.0,AGECARE TRILOGY KITCHEN,340 Mccowan Rd None M1J 3P4,auto_classified
10844574.0,AGRARIAN KITCHEN,26 Logan Ave Unit-A M4M 2M8,auto_classified
10801772.0,AH-SO SUSHI,100 Queens Quay  E Unit-200 M5E 1Y3,auto_classified
10815177.0,AH-SO SUSHI,29 Bathurst St Unit-1 M5V 0L8,auto_classified
10826856.0,AISLE 3 BAR,2535 Dundas St W None M6P 1X6,auto_classified
10792913.0,AITAIKER TAIWANESE FRIED CHICKEN,5418 Yonge St Unit-21 M2N 6X4,auto_classified
10800320.0,AJISEN RAMEN,2359 Yonge St Flr-LOWER M4P 2C8,auto_classified
10834572.0,AKAMI SUSHI,825 Dundas St W None M6J 1V4,auto_classified
10775812.0,AL' DEEWAN BAKERY & PIZZA,2067 Lawrence Ave E None M1R 2Z4,auto_classified
