est_name,address,unified_est_id,your_decision
#DESI,65 Front St W Unit-442 M5J 1E6,10805561.0,
1 HOTEL TORONTO - CASA MADERA,550 Wellington St W None M5V 2V4,10776008.0,
1 HOTEL TORONTO - FLORA LOUNGE,550 Wellington St W None M5V 2V4,10776019.0,
1 HOTEL TORONTO - HARRIET'S,550 Wellington St W None M5V 2V4,10776009.0,
111 RAMYUN,2156 YONGE ST None M4S 2A8,10823218.0,
11:59,70 Temperance St Unit-1 M5H 0B1,10781442.0,
18 FEET,"86 GERRARD ST E, Unit-100 None M5B 2J1",10839363.0,
18 FEET,1967 Yonge St None M4S 0C1,,
1910 LA MEXICANA,993.5 Bloor St W None M6H 1M1,10806585.0,
6IXDONUTZ,83 Portland St None M5V 2M9,10803582.0,
8090 KARAOKE,530 Dundas St W Flr-2 M5T 1H3,10778738.0,
955 CHINESE FOOD,2252 Queen St E None M4E 1G2,10812820.0,
99 BOTTLES,925 Kingston Rd None M4E 1S6,10797459.0,
A & W,659 Dupont St None M6G 1Z5,10787160.0,
A & W,2500 Sheppard Ave E None M2J 1X1,10800311.0,
A & W,1190 Danforth Ave None M4J 1M6,10823483.0,
A & W,654 Danforth Ave None M4J 1L1,10832820.0,
A & W,3300 Bloor St W None M8X 2X3,10839300.0,
A & W,2625 Yonge St Unit-A M4P 2J6,10841421.0,
A1 STONE POT,409 Spadina Ave None M5T 2G6,10836402.0,
AAHA! TRULY SOUTH,250 Dundas St W None M5T 2Z5,10862671.0,
ABENI AFRICAN FOOD INC.,1304 WESTON RD None M6M 4R5,10828772.0,
ABEY'S INDIAN CHINESE HAKKAH FUSION,118 John St None M5V 2E3,10800018.0,
ABRIELLE,355 King St W None M5V 1J6,10795275.0,
ACAI BRAZIL,2039 Yonge St None M4S 2A2,10787839.0,
ACKEE TREE DYNAMITE JAMAICAN JERK,205 Humber College Blvd None M9W 5L7,10845976.0,
ACROPOLIS GYRO CORNER,1004 Kingston Rd None M4E 1T2,10786265.0,
ADDA,3342 Danforth Ave Unit-01 M1L 1C8,10777981.0,
ADI BIRKRAMPUR SWEETS & FAST FOOD,2968 Danforth Ave None M4C 1M6,10825330.0,
ADOBO FRESH BURRITO,4205 Keele St Unit-19 M3J 3T8,10807407.0,
ADOBO FRESH BURRITOS,388 Richmond St W Unit-5A M5V 3P1,10841873.0,
AERA,8 Spadina Ave Unit-3800 M5V 2H6,10798337.0,
AGAK AGAK,253 GERRARD ST E None M5A 2G1,10854330.0,
AH SO,147 LAIRD DR None M4G 4K1,10832499.0,
AIFAM,102 Harbord St None M5S 1G6,10796992.0,
AKI DONBURI,793 Bathurst St None M5S 1Z5,10791821.0,
AKIN,51 Colborne St None M5E 1E3,10827462.0,
AKIVA'S FOOD,6243 Bathurst St None M2R 2A5,10803662.0,
AL CHILE,1165 ST CLAIR AVE W None M6E 1B2,10813966.0,
AL JOOD,998 Queen St W None M6J 1H1,10856082.0,
AL ZABIHA HALAL MEAT,2657 Islington Ave None M9V 2X6,10774436.0,
ALEBRIJE,119 Harbord St None M5S 1G7,10856507.0,
ALERIA,1070 Queen St W None M6J 1H8,10789406.0,
ALEX FARM,1965 QUEEN ST E None M4L 1H9,10825560.0,
ALFORAT IRAQI STREET FOOD,271 Yonge St None M5B 1N8,10848821.0,
ALHAMADANI FOOD,4403 Kingston Rd Unit-101 M1E 2N2,10830084.0,
ALI BABA'S,682 Queen St E None M4M 1G9,10775308.0,
ALINE NASSEH ARTISAN CHOCOLATES,877 Alness St Unit-22 M3J 2X3,10784548.0,
ALL SPICE JERK EXPRESS,275 Dundas St W None M5T 3K1,10801963.0,
ALLAN'S PASTRY SHOP,100 King St W Unit-CN0148 M5X 1K7,10778991.0,
ALMINZ KAKANIN,6464 Yonge St Unit-121A M2M 3X4,10835861.0,
ALOBAR,150 York St None M5H 3S5,10781551.0,
ALOETTE,81 Bay St None M5E 1Z8,10813319.0,
ALOETTE GO,2362 Yonge St None M4P 2E6,10789400.0,
ALOETTE GO,81 Bay St None M5E 1Z8,10811829.0,
AMA KO MOMO,1228 King St W None M6K 1G4,10808189.0,
AMADEUS PATISSERIE,1235 Bay St None M5R 3K4,10829426.0,
AMAYA REAL INDIAN FOOD,1800 Sheppard Ave E Unit-F015 M2J 5A7,10854564.0,
AMEG,152 Augusta Ave Unit-A M5T 2L5,10836455.0,
AMELIE'S CHOCOLATE & PATISSERIE,74 Crockford Blvd Unit-3 M1R 3C3,10840086.0,
AMI NO,755 Dundas St W Unit-B M6J 1T9,10813742.0,
AMIRTHAM TAKE-OUT,1265 Morningside Ave Unit-106 M1B 3V9,10804125.0,
AMMI'S,1760 Lawrence Ave E None M1R 2Y1,10835959.0,
AMO'S,2014 QUEEN ST E None M4L 1J3,10807308.0,
AN JI FOOD,285 Milliken Blvd Unit-22 M1V 3H4,10820875.0,
ANA'S HOT SPOT,5928 Finch Ave E Unit-105 M1B 5P8,10836817.0,
AND/ORE,1040 QUEEN ST W None M6J 1H7,10797737.0,
ANGARA INDIAN AND HAKKA DOWNTOWN,536 Queen St W Unit-536 M5V 2B5,10803754.0,
ANIML STEAKHOUSE & COCKTAIL DEN,420 Wellington St W Unit-A M5V 1E3,10830462.0,
ANNALAKSHMI,"250 ALTON TOWERS CRCL, Unit-C8 None M1V 3Z4",10835866.0,
ANNE'S CONFECTIONS,"320 DAVENPORT RD, Unit-200 None M5R 1K6",10837818.0,
ANTYLIA,1059 Bloor St W None M6H 1M5,10855619.0,
AO CAKE,"3272 MIDLAND AVE, Unit-B-126 None M1V 0C7",10793734.0,
AO CAKE,678E Sheppard Ave E None M2K 1B7,10845845.0,
APT200,1032 Queen St W Flr-2 M6J 1H7,10797927.0,
APULIA GASTRONOMIA,2400 Bloor St W None M6S 1P5,10847782.0,
ARABICA CANADA (EATONS),220 Yonge St Unit-1158B M5B 2H1,10830652.0,
ARIETE E TORO,12 Keewatin Ave None M4P 1Z8,10844551.0,
ARISTOS SOUVLAKI & GYROS,265 Queen St W None M5V 1Z4,10775333.0,
AROMAZ CAKE & PASTRY,390 Silver Star Blvd Unit-131 M1V 0G5,10783579.0,
ASEER TIME,2062 Lawrence Ave E Unit-2062 M1R 2Z5,10861778.0,
ASSEMBLY CHEF'S HALL - OSTERIA SCOSSA,111 Richmond St W None M5H 2G4,10788300.0,
ASTERS PATISSERIE,181 Bay St Unit-C370 M5J 2T3,10857371.0,
ATELIER PASTA,165 Bathurst St Unit-167 M5V 3C2,10813075.0,
ATI PASTRY,2755 Lake Shore Blvd W Unit-D M8V 1H2,10853455.0,
AU PAIN DORE,5650 Yonge St Unit-002 M2M 4G3,10781016.0,
AU PAIN DORE,25 The West Mall Unit-1195A M9C 1B8,10789322.0,
AU PAIN DORE,20 Adelaide St E Unit-101 M5C 2T6,10798047.0,
AU PAIN DORE,875 Bay St Bldg-3 M5S 3K6,10820110.0,
AUGUST 8 EGLINTON,10 Lebovic Ave Unit-8 M1L 4V9,10795667.0,
AUTHENTIC DHAKAIYA TASTE,41 Lebovic Ave Unit-A122 None,10840015.0,
AVANT,"1 BLOOR ST E, Unit-1A None M4W 1A9",10851516.0,
AYOKA-ADE AFRICAN DELICACIES,1009 Albion Rd None M9V 1A6,10830821.0,
