unified_est_id,est_name,address,classification
10805561.0,#DESI,65 Front St W Unit-442 M5J 1E6,ambiguous
10817087.0,000 BLUEPRINT CLUB,1 Blue Jays Way None M5V 1J4,ambiguous
10862396.0,000 HEINZ CLUB 328,1 Blue Jays Way None M5V 1J4,ambiguous
10808572.0,000 MEZZ PRODUCTION KITCHEN (PK),1 Blue Jays Way None M5V 1J4,likely_restaurant
10817088.0,000 TD LOUNGE,1 Blue Jays Way None M5V 1J4,ambiguous
10820510.0,000 THE WAREHOUSE (docks),1 Blue Jays Way None M5V 1J4,likely_not_restaurant
10840337.0,000F BLUEPRINT CLUB KITCHEN,1 Blue Jays Way None M5V 1J4,likely_restaurant
10808575.0,000L BANNER CLUB KITCHEN,1 BLUE JAYS WAY None M5V 1J4,likely_restaurant
10817089.0,000L CLOVER BANNER CLUB KITCHEN,1 Blue Jays Way None M5V 1J4,likely_restaurant
10861029.0,01 TO GO CATERING,20 Lockport Ave Unit-137 M8Z 2R7,likely_not_restaurant
10776015.0,1 HOTEL TORONTO - 1 KITCHEN,550 Wellington St W None M5V 2V4,likely_restaurant
10776008.0,1 HOTEL TORONTO - CASA MADERA,550 Wellington St W None M5V 2V4,ambiguous
10776019.0,1 HOTEL TORONTO - FLORA LOUNGE,550 Wellington St W None M5V 2V4,ambiguous
10776009.0,1 HOTEL TORONTO - HARRIET'S,550 Wellington St W None M5V 2V4,ambiguous
10776014.0,1 HOTEL TORONTO - STAFF CAFETERIA 'The Nest',550 Wellington St W None M5V 2V4,likely_restaurant
10814320.0,1 ZERO 2 DELIGHTS,102 Fort York Blvd None None,ambiguous
10820991.0,10 DEAN,"21 DALHOUSIE ST, Flr-MAIN None M5B 2A5",ambiguous
10863448.0,10 DEAN,31 YORK GARDEN WAY None M6A 0G3,ambiguous
10808982.0,1001 XINJIANG CUISINE,1883 Mcnicoll Ave Unit-1-6 M1V 5M3,likely_restaurant
10817091.0,102 THE STOP RIGHT FIELD,1 Blue Jays Way None M5V 1J4,ambiguous
10814147.0,103 TALL CANS,1 Blue Jays Way None M5V 1J4,ambiguous
10858033.0,10336319 CANADA INC (FACTORY OUTLET),"69 WESTMORE DR, Unit-6 None M9V 3Y6",ambiguous
10808569.0,106 THE CATCH BAR,1 Blue Jays Way None M5V 1J4,likely_restaurant
10814145.0,106 THE CATCH CONCESSION (CONC),1 Blue Jays Way None M5V 1J4,likely_restaurant
10814172.0,107 MILL STREET BREWERY,1 Blue Jays Way None M5V 1J4,likely_restaurant
10817103.0,108 ROGERS LANDING - MEZZ (portable),1 Blue Jays Way None M5V 1J4,ambiguous
10808571.0,109 PRODUCTION KITCHEN,1 Blue Jays Way None M5V 1J4,likely_restaurant
10839815.0,10TH FLOOR MARKET,19 Duncan St None M5H 3H1,ambiguous
10823218.0,111 RAMYUN,2156 YONGE ST None M4S 2A8,ambiguous
10845182.0,1117 MEATS AND PANTRY,1117 Queen St W None M6J 3X7,ambiguous
10814106.0,116 PIZZA NOVA,1 Blue Jays Way None M5V 1J4,likely_restaurant
10814161.0,119 T.O. FOOTLONG,1 Blue Jays Way None M5V 1J4,ambiguous
10781442.0,11:59,70 Temperance St Unit-1 M5H 0B1,ambiguous
10814176.0,122 STRIKE OUT GRILL,1 Blue Jays Way None M5V 1J4,likely_restaurant
10812827.0,13 SUNS ETHIOPIAN VEGAN CUISINE INC,74 Hymus Rd Unit-4 M1L 2C9,likely_restaurant
10814103.0,130 SMIRNOFF BAR,1 Blue Jays Way None M5V 1J4,likely_restaurant
10814104.0,140 VENDING KITCHEN,1 Blue Jays Way None M5V 1J4,likely_restaurant
10790159.0,1611 STUDIOS,1611 DUNDAS ST W None M6K 1T9,ambiguous
10839363.0,18 FEET,"86 GERRARD ST E, Unit-100 None M5B 2J1",ambiguous
,18 FEET,1967 Yonge St None M4S 0C1,ambiguous
10841443.0,18 FEET ESPRESSO BAR,144 College St None M5S 3M2,likely_restaurant
10806585.0,1910 LA MEXICANA,993.5 Bloor St W None M6H 1M1,ambiguous
10795574.0,200 Level - MASTERCARD LOUNGE,40 Bay St None M5J 2X2,ambiguous
10808579.0,200 ROGERS TERRACE,1 Blue Jays Way None M5V 1J4,ambiguous
10814169.0,202 WESTJET FLIGHT DECK,1 Blue Jays Way None M5V 1J4,ambiguous
10814205.0,209 SCHNEIDERS PORCH & TERRACE,1 Blue Jays Way None M5V 1J4,ambiguous
10814179.0,211 BAY ST DELI,1 Blue Jays Way None M5V 1J4,likely_restaurant
10814177.0,215 INFIELD CLASSICS,1 Blue Jays Way None M5V 1J4,ambiguous
10814168.0,219 INFIELD CLASSICS,1 Blue Jays Way Unit-220 M5V 1J4,ambiguous
10814173.0,229 INFIELD CLASSICS,1 Blue Jays Way None M5V 1J4,ambiguous
10788511.0,241 PIZZA,8 Greystone Walk Dr Unit-C1E M1K 5J2,likely_restaurant
10844630.0,241 PIZZA,3815 Lake Shore Blvd W None M8W 1R2,likely_restaurant
10814164.0,244 WESTJET FLIGHT DECK CART,1 Blue Jays Way None M5V 1J4,ambiguous
