"Rec #","Establishment ID","Inspection ID","Establishment Name","Establishment Type","Establishment Address","Latitude","Longitude","Establishment Status","Min. Inspections Per Year","Infraction Details","Inspection Date","Severity","Action","Outcome","Amount Fined"
"1","9008018","101700057","'K' STORE","Food Store (Convenience/Variety)","99 CARLTON ST","43.66205","-79.37747","Pass","1","","2007-11-23","","","",""
"2","9348578","101532082","147 ELDER ST INC.","Retirement Homes(Licensed)","147 ELDER ST","43.76273","-79.45402","Pass","3","","2007-03-16","","","",""
"3","9348578","101616382","147 ELDER ST INC.","Retirement Homes(Licensed)","147 ELDER ST","43.76273","-79.45402","Pass","3","","2007-07-11","","","",""
"4","9348578","101699751","147 ELDER ST INC.","Retirement Homes(Licensed)","147 ELDER ST","43.76273","-79.45402","Pass","3","","2007-11-23","","","",""
"5","9013060","101551077","149 TYNDALL HOUSE","Boarding / Lodging Home - Kitchen","149 TYNDALL AVE","43.63816","-79.42864","Pass","3","","2007-04-12","","","",""
"6","9013060","101616070","149 TYNDALL HOUSE","Boarding / Lodging Home - Kitchen","149 TYNDALL AVE","43.63816","-79.42864","Pass","3","","2007-07-11","","","",""
"7","9013060","101699181","149 TYNDALL HOUSE","Boarding / Lodging Home - Kitchen","149 TYNDALL AVE","43.63816","-79.42864","Pass","3","","2007-11-23","","","",""
"8","9000031","101566659","2-4-1 PIZZA","Food Take Out","759 JANE ST","43.67153","-79.49335","Pass","2","Operator fail to properly maintain rooms","2007-05-08","M - Minor","Notice to Comply","",""
"9","9000031","101566659","2-4-1 PIZZA","Food Take Out","759 JANE ST","43.67153","-79.49335","Pass","2","Operator fail to properly wash equipment","2007-05-08","M - Minor","Notice to Comply","",""
"10","9000031","101700357","2-4-1 PIZZA","Food Take Out","759 JANE ST","43.67153","-79.49335","Pass","2","Operator fail to properly wash surfaces in rooms","2007-09-24","M - Minor","Notice to Comply","",""
"11","9000046","101567538","2-4-1 PIZZA","Food Take Out","1468 QUEEN ST W, Unit-2","43.64059","-79.43665","Pass","2","Operator fail to properly wash surfaces in rooms","2007-05-09","M - Minor","Notice to Comply","",""
"12","9000046","101567538","2-4-1 PIZZA","Food Take Out","1468 QUEEN ST W, Unit-2","43.64059","-79.43665","Pass","2","Operator fail to use proper utensils to ensure food safety","2007-05-09","S - Significant","Corrected During Inspection","",""
"13","9000046","101567538","2-4-1 PIZZA","Food Take Out","1468 QUEEN ST W, Unit-2","43.64059","-79.43665","Pass","2","Operator fail to properly maintain rooms","2007-05-09","M - Minor","Notice to Comply","",""
"14","9000046","101567538","2-4-1 PIZZA","Food Take Out","1468 QUEEN ST W, Unit-2","43.64059","-79.43665","Pass","2","Operator fail to properly wash equipment","2007-05-09","M - Minor","Notice to Comply","",""
"15","9000046","101710063","2-4-1 PIZZA","Food Take Out","1468 QUEEN ST W, Unit-2","43.64059","-79.43665","Pass","2","Operator fail to properly wash surfaces in rooms","2007-12-11","M - Minor","Notice to Comply","",""
"16","9000046","101710063","2-4-1 PIZZA","Food Take Out","1468 QUEEN ST W, Unit-2","43.64059","-79.43665","Pass","2","Operator fail to properly maintain rooms","2007-12-11","M - Minor","Notice to Comply","",""
"17","9016832","101514262","2-4-1 PIZZA","Food Take Out","2291 KIPLING AVE","43.7294","-79.5742","Pass","2","","2007-02-19","","","",""
"18","9016832","101701029","2-4-1 PIZZA","Food Take Out","2291 KIPLING AVE","43.7294","-79.5742","Pass","2","","2007-07-12","","","",""
"19","9043776","101525334","2-4-1 PIZZA","Food Take Out","3815 LAKE SHORE BLVD W","43.5922","-79.54258","Pass","2","Operator fail to provide proper equipment","2007-03-08","M - Minor","Notice to Comply","",""
"20","9043776","101525334","2-4-1 PIZZA","Food Take Out","3815 LAKE SHORE BLVD W","43.5922","-79.54258","Pass","2","Operator fail to properly maintain equipment(NON-FOOD)","2007-03-08","M - Minor","Notice to Comply","",""
"21","9043776","101715584","2-4-1 PIZZA","Food Take Out","3815 LAKE SHORE BLVD W","43.5922","-79.54258","Pass","2","Operator fail to properly wash surfaces in rooms","2007-07-11","M - Minor","Notice to Comply","",""
"22","9043776","101715584","2-4-1 PIZZA","Food Take Out","3815 LAKE SHORE BLVD W","43.5922","-79.54258","Pass","2","Operator fail to provide proper garbage containers","2007-07-11","M - Minor","Notice to Comply","",""
"23","10284603","101669291","2-4-1 PIZZA","Food Take Out","1016 GERRARD ST E","43.66893","-79.3379","Pass","2","Operator fail to provide adequate pest control","2007-10-05","S - Significant","Notice to Comply","",""
"24","10284603","101669291","2-4-1 PIZZA","Food Take Out","1016 GERRARD ST E","43.66893","-79.3379","Pass","2","Operator fail to provide hand washing supplies","2007-10-05","S - Significant","Notice to Comply","",""
"25","10284603","101669291","2-4-1 PIZZA","Food Take Out","1016 GERRARD ST E","43.66893","-79.3379","Pass","2","Operator fail to sanitize washroom fixtures","2007-10-05","S - Significant","Notice to Comply","",""
