"Rec #","Establishment ID","Inspection ID","Establishment Name","Establishment Type","Establishment Address","Latitude","Longitude","Establishment Status","Min. Inspections Per Year","Infraction Details","Inspection Date","Severity","Action","Outcome","Amount Fined"
"1","10657713","104371967","NEW KANTAMANTO MARKET","Food Depot","266 EDDYSTONE AVE, Unit-0","43.74791","-79.52219","Pass","2","Fail to Ensure the Presence of the Holder of a Valid Food Handlers Certificate - Sec. 545- 157E(1 7)(a)","2019-02-04","NA - Not Applicable","Notice to Comply","",""
"2","10657713","104371967","NEW KANTAMANTO MARKET","Food Depot","266 EDDYSTONE AVE, Unit-0","43.74791","-79.52219","Pass","2","FAIL TO PROVIDE REQUIRED ILLUMINATION DURING ALL HOURS OF OPERATION - SEC. 10","2019-02-04","M - Minor","Notice to Comply","",""
"3","10657713","104402775","NEW KANTAMANTO MARKET","Food Depot","266 EDDYSTONE AVE, Unit-0","43.74791","-79.52219","Pass","2","Fail to protect against entry of pests - Sec. 13(1)","2019-06-18","M - Minor","Notice to Comply","",""
"4","10657713","104620288","NEW KANTAMANTO MARKET","Food Depot","266 EDDYSTONE AVE, Unit-0","43.74791","-79.52219","Pass","2","Fail to protect against entry of pests - Sec. 13(1)","2019-12-04","M - Minor","Notice to Comply","",""
"5","9008018","104440140","'K' STORE","Food Store (Convenience/Variety)","99 CARLTON ST","43.66205","-79.37747","Pass","1","","2019-03-29","","","",""
"6","10510325","104596700","0109 Dessert + Chocolate","Restaurant","2190 MCNICOLL AVE, -109","43.81477","-79.29491","Pass","2","","2019-10-25","","","",""
"7","10500438","104420756","1 PLUS 1 PIZZA","Food Take Out","361 OAKWOOD AVE","43.68725","-79.43842","Pass","2","FAIL TO PROVIDE THERMOMETER IN REFRIGERATION EQUIPMENT - SEC. 30(B)    ","2019-03-04","S - Significant","Notice to Comply","",""
"8","10500438","104420756","1 PLUS 1 PIZZA","Food Take Out","361 OAKWOOD AVE","43.68725","-79.43842","Pass","2","Fail to protect against harbouring of pests - Sec. 13(1)","2019-03-04","S - Significant","Notice to Comply","",""
"9","10500438","104420756","1 PLUS 1 PIZZA","Food Take Out","361 OAKWOOD AVE","43.68725","-79.43842","Pass","2","FAIL TO ENSURE FOOD HANDLER IN FOOD PREMISE PROTECTS AGAINST CONTAMINATION BY HAIR - SEC.  33(1)(D)","2019-03-04","M - Minor","Notice to Comply","",""
"10","10500438","104420756","1 PLUS 1 PIZZA","Food Take Out","361 OAKWOOD AVE","43.68725","-79.43842","Pass","2","Fail to ensure storage shelves designed to protect against contamination - Sec. 31","2019-03-04","C - Crucial","Notice to Comply","",""
