""Rec #","Establishment ID","Inspection ID","Establishment Name","Establishment Type","Establishment Address","Latitude","Longitude","Establishment Status","Min. Inspections Per Year","Infraction Details","Inspection Date","Severity","Action","Outcome","Amount Fined"
"1","10500438","104918556","1 PLUS 1 PIZZA","Food Take Out","361 OAKWOOD AVE","43.68725","-79.43842","Pass","2","FOOD PREMISE NOT MAINTAINED WITH FOOD HANDLING ROOM IN SANITARY CONDITION - SEC. 7(1)(E) ","2021-12-08","M - Minor","Notice to Comply","",""
"2","10441981","104906131","10tation Event Catering","Food Caterer","232 NORSEMAN ST","43.63225","-79.52951","Pass","3","","2021-11-10","","","",""
"3","10589964","104916089","12 TABLES","Restaurant","1552 AVENUE RD","43.72334","-79.41635","Pass","2","FOOD PREMISE NOT MAINTAINED TO KEEP FOOD-HANDLING ROOM FREE FROM MATERIALS NOT REGULARLY USED - SEC. 7(1)(F) ","2021-12-01","M - Minor","Notice to Comply","",""
"4","9348578","104816923","147 ELDER ST INC.","Retirement Homes(Licensed)","147 ELDER ST","43.76273","-79.45402","Pass","3","","2021-03-17","","","",""
"5","9013060","104802327","149 TYNDALL HOUSE","Boarding / Lodging Home - Kitchen","149 TYNDALL AVE","43.63816","-79.42864","Pass","3","","2021-02-04","","","",""
"6","10742080","104900953","156 CUMBERLAND","Restaurant","156 CUMBERLAND ST","43.67005","-79.39334","Pass","2","","2021-10-27","","","",""
"7","10553551","104909851","1775111 ONTARIO LIMITED","Bakery","2242 KINGSTON RD","43.70464","-79.25281","Pass","2","","2021-11-24","","","",""
"8","10569465","104914631","1915 LANZHOU RAMEN","Restaurant","185 DUNDAS ST W","43.655","-79.38665","Pass","2","FOOD PREMISE NOT MAINTAINED WITH CLEAN FLOORS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ","2021-11-29","M - Minor","Notice to Comply","",""
"9","10741800","104899104","1976 KITCHEN & BAR RESTAURANT","Restaurant","918 WILSON AVE","43.73023","-79.46979","Pass","3","Fail to protect against entry of pests - Sec. 13(1)","2021-10-22","M - Minor","Notice to Comply","",""
"10","10741800","104899104","1976 KITCHEN & BAR RESTAURANT","Restaurant","918 WILSON AVE","43.73023","-79.46979","Pass","3","FOOD PREMISE NOT MAINTAINED WITH CLEAN FLOORS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ","2021-10-22","M - Minor","Notice to Comply","",""
"11","10318628","104794235","19TH HOLE SPORTS BAR AND GRILL","Restaurant","434 ROGERS RD","43.68279","-79.46394","Pass","2","","2021-01-12","","","",""
"12","10725526","104810406","2 AMIGOS LATINOS RESTAURANT","Food Take Out","1650 JANE ST, Unit-1","43.70099","-79.50362","Pass","2","","2021-03-01","","","",""
"13","10487649","104846895","2 BROS CUISINE","Food Take Out","1500 ROYAL YORK RD, UNIT-34","43.69163","-79.53185","Pass","2","","2021-06-04","","","",""
"14","10349645","104808466","2-4-1 PIZZA","Food Take Out","1756 LAWRENCE AVE E","43.74284","-79.30787","Pass","2","Fail to provide adequate number of handwashing stations - Sec. 7(3)(c)   ","2021-02-23","S - Significant","Notice to Comply","",""
"15","10349645","104808466","2-4-1 PIZZA","Food Take Out","1756 LAWRENCE AVE E","43.74284","-79.30787","Pass","2","Fail to Hold a Valid Food Handler's Certificate  - Sec. 545-157E(17)(b) ","2021-02-23","NA - Not Applicable","Notice to Comply","",""
"16","10349645","104808506","2-4-1 PIZZA","Food Take Out","1756 LAWRENCE AVE E","43.74284","-79.30787","Pass","2","","2021-03-02","","","",""
"17","10559262","104833655","241 PIZZA","Food Take Out","142 PARLIAMENT ST","43.6546","-79.36402","Pass","3","Fail to ensure completion of food handling training by food handler or supervisor - Sec. 32","2021-04-30","NA - Not Applicable","Notice to Comply","",""
"18","10604803","104902630","241 PIZZA","Food Take Out","451 PARLIAMENT ST","43.66356","-79.36755","Pass","2","","2021-11-01","","","",""
"19","10405652","104825720","244 PIZZA & WINGS","Food Take Out","1166 WESTON RD","43.6872","-79.49055","Pass","2","","2021-04-13","","","",""
"20","10405652","104849003","244 PIZZA & WINGS","Food Take Out","1166 WESTON RD","43.6872","-79.49055","Pass","2","FOOD PREMISE NOT MAINTAINED WITH CLEAN FLOORS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ","2021-06-09","M - Minor","Notice to Comply","",""
"21","10428037","104916548","3030","Restaurant","3030 DUNDAS ST W","43.66583","-79.4705","Pass","3","","2021-12-02","","","",""
"22","9003137","104886359","360 RESTAURANT","Restaurant","301 FRONT ST W, CN TOWER","43.64372","-79.38844","Pass","2","","2021-09-23","","","",""
"23","10729436","104832805","3A FOOD PRODUCTS","Food Take Out","23 MILLIKEN BLVD, Unit-B18","43.80414","-79.29508","Pass","2","","2021-04-28","","","",""
"24","10732968","104853759","43N Degree BBQ","Restaurant","5287 YONGE ST","43.77275","-79.41343","Pass","2","","2021-06-24","","","",""
"25","10732968","104909814","43N Degree BBQ","Restaurant","5287 YONGE ST","43.77275","-79.41343","Pass","2","","2021-11-17","","","",""
"26","10739955","104888980","44 TORONTO","Cocktail Bar / Beverage Room","627 KING ST W, Unit-P1/P2","43.64398","-79.40141","Pass","2","","2021-09-28","","","",""
"27","10617002","104846651","5 SPICE DINING","Restaurant","2826 MARKHAM RD","43.82307","-79.24781","Pass","3","Food premise maintained in manner permitting adverse effect on food - Sec. 7(1)(a)(iii) ","2021-06-04","C - Crucial","Notice to Comply","",""
"28","10617002","104846651","5 SPICE DINING","Restaurant","2826 MARKHAM RD","43.82307","-79.24781","Pass","3","Maintain potentially hazardous foods at internal temperature between 4 C and 60 C -  Sec. 27(1)","2021-06-04","C - Crucial","Notice to Comply","",""
"29","10617002","104846916","5 SPICE DINING","Restaurant","2826 MARKHAM RD","43.82307","-79.24781","Pass","3","","2021-06-08","","","",""
"30","10700371","104843045","51 LISGAR-TPH-AANGEN","Serving Kitchen","51 LISGAR ST","43.64229","-79.42296","Pass","2","","2021-05-26","","","",""
"31","9000116","104819903","521 CAFE","Restaurant","521 DANFORTH AVE","43.67804","-79.34821","Pass","1","","2021-03-24","","","",""
"32","10700853","104832014","7 Baker","Food Take Out","300 BOROUGH DR, Unit-R007","43.77629","-79.25802","Pass","2","","2021-08-19","","","",""
"33","9000144","104873939","7 WEST CAFE","Restaurant","7 CHARLES ST W","43.6685","-79.38669","Pass","2","Fail to protect food from contamination or adulteration - Sec. 26(1) ","2021-08-19","C - Crucial","Notice to Comply","",""
"34","9000144","104873939","7 WEST CAFE","Restaurant","7 CHARLES ST W","43.6685","-79.38669","Pass","2","FOOD PREMISE NOT MAINTAINED WITH FOOD HANDLING ROOM IN SANITARY CONDITION - SEC. 7(1)(E) ","2021-08-19","M - Minor","Notice to Comply","",""
"35","9000144","104873939","7 WEST CAFE","Restaurant","7 CHARLES ST W","43.6685","-79.38669","Pass","2","OPERATE FOOD PREMISE - MECHANICAL EQUIPMENT NOT MAINTAINED TO PROVIDE SUFFICIENT CHEMICAL SOLUTION RINSE - SEC. 20(1)(A)(II)(B) ","2021-08-19","S - Significant","Notice to Comply","",""
